Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y,Date,Time,Time_in_Seconds,Cluster
DRUG/NARCOTIC,POSSESSION OF HEROIN,Friday,TENDERLOIN,"ARREST, BOOKED",200 Block of LEAVENWORTH ST,-122.414081138014,37.7832767266062,2011-05-06,03:41:00,13260,2
NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Wednesday,TARAVAL,UNFOUNDED,BROTHERHOOD WAY / JUNIPERO SERRA BL,-122.471246211159,37.7127482228,2006-06-14,09:50:00,35400,1
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE,VANNESS AV / SUTTER ST,-122.421762501799,37.7875490094886,2005-02-27,13:00:00,46800,3
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,PARK,NONE,CASTRO ST / MARKET ST,-122.435187699349,37.7626702770872,2008-07-22,20:35:00,74100,1
LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,INGLESIDE,"ARREST, BOOKED",MISSION ST / CORTLAND AV,-122.422842376051,37.7410287442117,2006-02-08,13:50:00,49800,0
DRUG/NARCOTIC,POSSESSION OF AMPHETAMINE FOR SALES,Saturday,MISSION,"ARREST, BOOKED",500 Block of VALENCIA ST,-122.421738508476,37.7640972229024,2007-06-30,19:45:00,71100,3
NON-CRIMINAL,LOST PROPERTY,Sunday,SOUTHERN,NONE,500 Block of I-80,-122.386667033903,37.78988215691911,2003-08-10,14:00:00,50400,3
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,INGLESIDE,NONE,100 Block of BRAZIL AV,-122.433660487403,37.7240736796304,2012-08-24,13:55:00,50100,1
ASSAULT,BATTERY,Sunday,MISSION,NONE,100 Block of GUERRERO ST,-122.424322834824,37.7683035981657,2015-02-08,19:52:00,71520,3
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,100 Block of NORTHPOINT ST,-122.409723587259,37.8071154164975,2014-01-26,11:00:00,39600,3
OTHER OFFENSES,PROBATION VIOLATION,Saturday,TENDERLOIN,"ARREST, BOOKED",400 Block of ELLIS ST,-122.413609328985,37.784696907904,2006-07-15,09:39:00,34740,2
RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Thursday,INGLESIDE,NONE,1800 Block of GENEVA AV,-122.422856288288,37.708976808003,2010-12-02,12:50:00,46200,0
PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Thursday,NORTHERN,"ARREST, CITED",SUTTER ST / LARKIN ST,-122.418467747931,37.7879652569797,2012-08-09,22:10:00,79800,3
DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Saturday,MISSION,"ARREST, BOOKED",2900 Block of MISSION ST,-122.418279075012,37.7498209864471,2003-12-27,17:42:00,63720,0
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Tuesday,BAYVIEW,NONE,700 Block of ARKANSAS ST,-122.397829945929,37.7566189042057,2003-09-16,18:30:00,66600,0
ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Wednesday,RICHMOND,NONE,3000 Block of CLAY ST,-122.443302912735,37.7895037942665,2009-10-28,00:50:00,3000,2
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Thursday,BAYVIEW,NONE,3500 Block of JENNINGS ST,-122.396779750105,37.7179655981082,2007-09-20,15:30:00,55800,0
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,MISSION,"ARREST, CITED",CAPP ST / 17TH ST,-122.418486296582,37.763495437318895,2005-04-07,09:10:00,33000,2
OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,MISSION,"ARREST, CITED",GUERRERO ST / 24TH ST,-122.422879961412,37.7519719058164,2010-06-02,14:20:00,51600,0
SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,TENDERLOIN,NONE,400 Block of ELLIS ST,-122.413609328985,37.784696907904,2010-09-22,21:00:00,75600,3
LARCENY/THEFT,PETTY THEFT BICYCLE,Sunday,SOUTHERN,NONE,HOWARD ST / SPEAR ST,-122.392527678435,37.7913099144804,2003-06-29,09:45:00,35100,2
NON-CRIMINAL,"CIVIL SIDEWALKS, WARNING",Thursday,NORTHERN,NONE,700 Block of 14TH ST,-122.429553089449,37.7677490465525,2013-03-07,19:15:00,69300,1
WARRANTS,WARRANT ARREST,Thursday,MISSION,"ARREST, BOOKED",2300 Block of 16TH ST,-122.409529913278,37.7657184395282,2011-08-11,21:44:00,78240,3
MISSING PERSON,FOUND PERSON,Saturday,SOUTHERN,NONE,0 Block of MOSS ST,-122.407999186749,37.7778241673064,2010-07-17,21:00:00,75600,3
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,NORTHERN,NONE,1400 Block of UNION ST,-122.423164382502,37.7986007771754,2003-11-10,17:30:00,63000,3
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,PARK,NONE,400 Block of BURNETT AV,-122.444011772304,37.7547925522198,2007-10-06,20:30:00,73800,1
ASSAULT,INFLICT INJURY ON COHABITEE,Saturday,SOUTHERN,JUVENILE BOOKED,0 Block of UNITEDNATIONS PZ,-122.414317857881,37.7799444052046,2005-07-16,10:35:00,38100,2
WARRANTS,WARRANT ARREST,Monday,NORTHERN,NONE,LARKIN ST / SACRAMENTO ST,-122.419225511064,37.7917052017931,2010-07-12,04:08:00,14880,2
NON-CRIMINAL,LOST PROPERTY,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2007-03-20,10:00:00,36000,2
SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,TARAVAL,"ARREST, BOOKED",300 Block of SHIELDS ST,-122.465797811186,37.7179700121368,2012-09-19,16:30:00,59400,1
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,MISSION,NONE,2900 Block of FOLSOM ST,-122.413777740935,37.7500922132283,2013-01-21,01:20:00,4800,2
RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Monday,BAYVIEW,NONE,1400 Block of WALLACE AV,-122.388280728801,37.72593949872249,2008-04-28,08:45:00,31500,0
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,MISSION,NONE,3200 Block of 17TH ST,-122.419004027906,37.76351759830021,2015-05-12,23:10:00,83400,3
OTHER OFFENSES,FALSE PERSONATION,Sunday,NORTHERN,NONE,500 Block of FILLMORE ST,-122.430851581702,37.7744552453738,2015-01-25,18:00:00,64800,3
OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,BAYVIEW,"ARREST, CITED",BAY SHORE BL / VISITACION AV,-122.404226078396,37.7104088782401,2009-08-18,16:20:00,58800,0
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,NORTHERN,NONE,0 Block of WILLOW ST,-122.418450965192,37.7836164048533,2012-08-09,11:45:00,42300,3
OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE",Tuesday,TARAVAL,NONE,2900 Block of SAN JOSE AV,-122.455399656711,37.7117187165051,2012-01-10,11:02:00,39720,1
WEAPON LAWS,POSS OF LOADED FIREARM,Wednesday,BAYVIEW,UNFOUNDED,1100 Block of OAKDALE AV,-122.382192583973,37.7298874272325,2005-01-12,15:26:00,55560,0
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,PARK,NONE,1700 Block of ELLIS ST,-122.435014580094,37.7820978317164,2013-03-19,16:45:00,60300,1
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Saturday,MISSION,NONE,2700 Block of MISSION ST,-122.41844919178,37.7530267515876,2012-09-22,16:20:00,58800,0
OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,CENTRAL,"ARREST, CITED",THE EMBARCADERO NORTH ST / CHESTNUT ST,-122.403193067244,37.8051144491767,2003-09-07,12:40:00,45600,3
NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Tuesday,PARK,NONE,0 Block of FARVIEW CT,-122.450987968093,37.7548306360785,2007-08-21,08:40:00,31200,1
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,PARK,NONE,2000 Block of GROVE ST,-122.450367154123,37.774406505059,2014-03-07,15:30:00,55800,1
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,BAY ST / KEARNY ST,-122.407149304657,37.80642673167901,2012-10-03,13:00:00,46800,3
DISORDERLY CONDUCT,DISTURBING THE PEACE,Wednesday,MISSION,"ARREST, CITED",2600 Block of 23RD ST,-122.405968218086,37.7543612746695,2010-02-24,22:00:00,79200,0
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Saturday,MISSION,NONE,3500 Block of CESAR CHAVEZ ST,-122.421402486894,37.7481788673566,2013-08-10,08:10:00,29400,0
NON-CRIMINAL,LOST PROPERTY,Sunday,NORTHERN,NONE,800 Block of TURK ST,-122.423105855786,37.7815834072995,2004-09-19,08:00:00,28800,2
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,NORTHERN,NONE,1600 Block of PINE ST,-122.422963001902,37.789251361779,2003-08-06,09:00:00,32400,2
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,TENDERLOIN,"ARREST, BOOKED",TURK ST / HYDE ST,-122.415694922134,37.7825851968467,2008-11-10,07:40:00,27600,2
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,MISSION,"ARREST, CITED",16TH ST / UTAH ST,-122.406553700764,37.765842635446,2004-01-24,09:40:00,34800,2
FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Monday,CENTRAL,NONE,600 Block of GEARY ST,-122.413988841812,37.7865685406761,2007-10-01,04:00:00,14400,2
NON-CRIMINAL,LOST PROPERTY,Saturday,CENTRAL,NONE,1000 Block of MONTGOMERY ST,-122.403891536014,37.7987153189882,2006-12-16,00:30:00,1800,2
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Saturday,MISSION,NONE,MISSION ST / SYCAMORE ST,-122.41944531067,37.7627134327476,2010-01-16,16:36:00,59760,3
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Tuesday,TENDERLOIN,NONE,200 Block of JONES ST,-122.412573643201,37.7834687204586,2014-03-18,23:25:00,84300,3
TRESPASS,TRESPASSING,Wednesday,BAYVIEW,NONE,800 Block of SILVER AV,-122.418934279861,37.7291408602856,2003-10-29,11:15:00,40500,0
VEHICLE THEFT,STOLEN TRUCK,Monday,NORTHERN,NONE,200 Block of HICKORY ST,-122.423378483287,37.77534366836429,2012-06-11,18:00:00,64800,3
NON-CRIMINAL,LOST PROPERTY,Wednesday,SOUTHERN,NONE,700 Block of HOWARD ST,-122.401560967513,37.7840888680389,2004-01-07,09:00:00,32400,2
ASSAULT,BATTERY,Tuesday,SOUTHERN,UNFOUNDED,1400 Block of HOWARD ST,-122.415024800393,37.7736018526136,2009-06-09,13:00:00,46800,3
ASSAULT,BATTERY OF A POLICE OFFICER,Thursday,SOUTHERN,"ARREST, BOOKED",100 Block of MARKET ST,-122.395885942961,37.7934395872345,2011-12-01,18:56:00,68160,3
LARCENY/THEFT,PETTY THEFT WITH PRIOR,Sunday,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.405895369887,37.786734218498296,2011-11-20,19:00:00,68400,3
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,NORTHERN,NONE,600 Block of FILLMORE ST,-122.431038532157,37.7753861665924,2003-05-03,12:50:00,46200,1
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,MISSION,NONE,900 Block of VALENCIA ST,-122.421085159058,37.7572895293911,2004-10-01,23:00:00,82800,3
NON-CRIMINAL,LOST PROPERTY,Sunday,INGLESIDE,NONE,GENEVA AV / MISSION ST,-122.441018108862,37.716458683113714,2004-12-26,12:00:00,43200,1
RUNAWAY,RUNAWAY,Friday,BAYVIEW,NONE,1400 Block of PHELPS ST,-122.394438859914,37.73644389967321,2015-02-06,16:00:00,57600,0
SUSPICIOUS OCC,SUSPICIOUS PERSON,Tuesday,SOUTHERN,NONE,1100 Block of MARKET ST,-122.412320907436,37.7807642254398,2007-09-04,09:47:00,35220,2
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,MISSION,"ARREST, CITED",20TH ST / SOUTH VAN NESS AV,-122.416872883664,37.75876402011321,2012-12-28,21:45:00,78300,3
LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Saturday,NORTHERN,"ARREST, BOOKED",1300 Block of WEBSTER ST,-122.431046366089,37.7830295716044,2004-12-11,16:55:00,60900,3
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,MISSION,"ARREST, BOOKED",3700 Block of 18TH ST,-122.427242380192,37.7614118083919,2008-09-17,11:30:00,41400,1
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,NORTHERN,"ARREST, CITED",1600 Block of GOUGH ST,-122.425215167206,37.7883119156663,2004-02-21,10:29:00,37740,2
OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,INGLESIDE,"ARREST, CITED",1300 Block of MANSELL ST,-122.416192700509,37.718510177529,2003-08-20,10:17:00,37020,0
ASSAULT,THREATS AGAINST LIFE,Friday,CENTRAL,NONE,400 Block of MONTGOMERY ST,-122.402795576963,37.793333275060895,2005-05-06,11:10:00,40200,3
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Saturday,NORTHERN,NONE,2300 Block of VANNESS AV,-122.42387180052602,37.797139554437706,2004-12-11,16:00:00,57600,3
ASSAULT,BATTERY,Wednesday,MISSION,NONE,1000 Block of POTRERO AV,-122.406539115148,37.7564864109309,2007-12-12,23:26:00,84360,3
NON-CRIMINAL,CASE CLOSURE,Friday,MISSION,"ARREST, BOOKED",400 Block of SHOTWELL ST,-122.415932937248,37.761222332962106,2013-04-05,16:38:00,59880,3
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,MISSION,NONE,BARTLETT ST / 21ST ST,-122.420013069308,37.75696860922921,2007-06-01,11:30:00,41400,0
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Tuesday,TENDERLOIN,NONE,400 Block of OFARRELL ST,-122.411747371924,37.7859988323798,2012-09-18,02:00:00,7200,2
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,INGLESIDE,"ARREST, CITED",200 Block of COLLEGE AV,-122.424262834115,37.7349497744655,2012-11-27,20:44:00,74640,0
ASSAULT,BATTERY,Saturday,TENDERLOIN,"ARREST, CITED",400 Block of LEAVENWORTH ST,-122.414593831954,37.7851199839553,2013-02-09,09:53:00,35580,2
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2004-10-03,19:00:00,68400,3
ASSAULT,THREATENING PHONE CALL(S),Sunday,TARAVAL,NONE,200 Block of SAGAMORE ST,-122.460564524171,37.71132496813061,2009-05-31,19:40:00,70800,1
OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Monday,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.41965834371,37.7642205603745,2008-01-07,01:12:00,4320,2
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,NORTHERN,"ARREST, BOOKED",LARKIN ST / HEMLOCK ST,-122.418368839172,37.78748615720421,2005-02-13,08:40:00,31200,2
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Friday,INGLESIDE,"ARREST, BOOKED",200 Block of ANDOVER ST,-122.416394633801,37.7397324014632,2006-05-05,16:15:00,58500,0
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,SOUTHERN,NONE,200 Block of 3RD ST,-122.399899436982,37.7846480308387,2007-07-26,17:45:00,63900,3
SUSPICIOUS OCC,SUSPICIOUS PERSON,Monday,CENTRAL,NONE,200 Block of SANSOME ST,-122.401099901201,37.7925847437523,2010-07-26,09:26:00,33960,2
NON-CRIMINAL,FOUND PROPERTY,Wednesday,RICHMOND,NONE,3700 Block of GEARY BL,-122.45945169075,37.78136261325521,2004-02-04,11:09:00,40140,1
SECONDARY CODES,GANG ACTIVITY,Saturday,MISSION,"ARREST, BOOKED",22ND ST / BARTLETT ST,-122.419860961947,37.755366882850296,2013-11-30,23:14:00,83640,3
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,TENDERLOIN,"ARREST, BOOKED",100 Block of ELLIS ST,-122.408269031453,37.78538311057971,2006-11-14,17:49:00,64140,3
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,MISSION,NONE,16TH ST / MISSION ST,-122.419671780296,37.7650501214668,2006-06-29,20:00:00,72000,3
NON-CRIMINAL,FOUND PROPERTY,Wednesday,NORTHERN,NONE,2700 Block of GREENWICH ST,-122.444988645309,37.7978467892651,2015-03-04,22:30:00,81000,1
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,NORTHERN,NONE,600 Block of POLK ST,-122.419020964349,37.782652976077,2004-09-17,00:45:00,2700,2
KIDNAPPING,FALSE IMPRISONMENT,Friday,TARAVAL,NONE,200 Block of SUMMIT ST,-122.454275425409,37.7172112128612,2014-07-25,22:00:00,79200,1
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,BATTERY ST / BROADWAY ST,-122.401055856585,37.7985811020841,2009-05-03,02:00:00,7200,2
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Sunday,NORTHERN,NONE,2400 Block of CALIFORNIA ST,-122.434689351674,37.7888538411014,2013-09-08,17:00:00,61200,3
ROBBERY,"ROBBERY, BODILY FORCE",Saturday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2012-07-28,02:45:00,9900,2
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,BAYVIEW,NONE,1000 Block of REVERE AV,-122.379861894951,37.7258888173403,2013-10-17,21:00:00,75600,0
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Sunday,CENTRAL,NONE,1200 Block of GRANT AV,-122.407110077805,37.7986457830055,2006-07-02,02:10:00,7800,2
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,1500 Block of 7TH AV,-122.46391453597602,37.75945081469821,2010-12-29,20:00:00,72000,1
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,PIERCE ST / CHESTNUT ST,-122.439504944797,37.8004024933613,2007-07-27,19:30:00,70200,3
BURGLARY,"BURGLARY, FORCIBLE ENTRY",Friday,MISSION,NONE,2000 Block of MISSION ST,-122.419520367886,37.764228935718,2013-07-26,17:00:00,61200,3
OTHER OFFENSES,RECKLESS DRIVING,Thursday,MISSION,NONE,26TH ST / HARRISON ST,-122.411595216432,37.7494360392756,2006-03-23,16:10:00,58200,0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE,DEHARO ST / 15TH ST,-122.401843489392,37.7674322753602,2012-01-25,19:15:00,69300,3
LARCENY/THEFT,"LOST PROPERTY, GRAND THEFT",Monday,TARAVAL,NONE,8TH AV / PACHECO ST,-122.464185832661,37.7507165808524,2003-10-27,13:00:00,46800,1
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,CENTRAL,NONE,LEAVENWORTH ST / PACIFIC AV,-122.416655593468,37.795669583648,2015-04-27,21:00:00,75600,3
SECONDARY CODES,DOMESTIC VIOLENCE,Tuesday,MISSION,NONE,900 Block of POTRERO AV,-122.406789115471,37.7564927890408,2003-12-23,21:50:00,78600,0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE,1400 Block of MINNESOTA ST,-122.389572126839,37.7518517885576,2013-04-17,02:20:00,8400,2
OTHER OFFENSES,PAROLE VIOLATION,Friday,SOUTHERN,"ARREST, BOOKED",MISSION ST / 6TH ST,-122.408710606663,37.78097067220529,2010-10-22,22:10:00,79800,3
ASSAULT,THREATS AGAINST LIFE,Tuesday,BAYVIEW,NONE,0 Block of DOUBLEROCK ST,-122.387694587441,37.7205552398712,2004-12-21,10:00:00,36000,0
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,BAYVIEW,NONE,600 Block of KANSAS ST,-122.403161251408,37.7615234591434,2006-03-23,09:19:00,33540,2
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,MISSION,NONE,NOE ST / MARKET ST,-122.433075152403,37.76419377902421,2011-09-22,20:00:00,72000,1
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,PARK,NONE,300 Block of LAGUNAHONDA BL,-122.45868018978202,37.7481554692332,2012-09-04,15:00:00,54000,1
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,TENDERLOIN,"ARREST, CITED",200 Block of TURK ST,-122.413237516676,37.78284302332129,2007-07-11,22:22:00,80520,3
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Friday,SOUTHERN,NONE,1000 Block of MISSION ST,-122.409795194505,37.7800356268394,2012-03-09,01:00:00,3600,2
ASSAULT,CHILD ABUSE (PHYSICAL),Monday,MISSION,"ARREST, BOOKED",2900 Block of MISSION ST,-122.418279075012,37.7498209864471,2004-05-24,18:37:00,67020,0
SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Saturday,PARK,"ARREST, BOOKED",1600 Block of HAIGHT ST,-122.450452600564,37.7695032629887,2013-12-14,23:00:00,82800,1
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Saturday,INGLESIDE,NONE,FOOTE AV / ELLINGTON AV,-122.445459206438,37.7131961971303,2005-09-24,10:00:00,36000,1
MISSING PERSON,MISSING JUVENILE,Thursday,BAYVIEW,LOCATED,0 Block of LEDYARD ST,-122.402116556292,37.7332354676556,2011-12-15,23:04:00,83040,0
WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Friday,PARK,NONE,TURK ST / DIVISADERO ST,-122.43874173734,37.7796593150035,2005-08-12,23:20:00,84000,1
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,NORTHERN,NONE,300 Block of HERMANN ST,-122.4309001753,37.7700827275986,2003-11-13,08:30:00,30600,2
STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Thursday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.407633520742,37.7841893501425,2012-05-31,14:50:00,53400,3
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,MISSION,NONE,14TH ST / MISSION ST,-122.419983447697,37.768272676361896,2012-10-31,20:15:00,72900,3
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,TENDERLOIN,"ARREST, BOOKED",0 Block of EDDY ST,-122.408890252742,37.78434676132729,2009-05-11,14:13:00,51180,3
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Wednesday,CENTRAL,NONE,GREEN ST / TAYLOR ST,-122.413934584568,37.7988864506187,2003-06-11,19:00:00,68400,3
DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Saturday,NORTHERN,"ARREST, BOOKED",0 Block of FELL ST,-122.418500584434,37.7764380944444,2004-03-20,21:44:00,78240,3
FORGERY/COUNTERFEITING,"FORGERY, NOTES",Wednesday,SOUTHERN,NONE,1100 Block of MARKET ST,-122.413564091744,37.779514030063,2007-03-07,21:00:00,75600,3
MISSING PERSON,MISSING JUVENILE,Thursday,INGLESIDE,LOCATED,400 Block of ATHENS ST,-122.429086132374,37.72087595156521,2011-06-02,16:00:00,57600,0
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Tuesday,BAYVIEW,DISTRICT ATTORNEY REFUSES TO PROSECUTE,1200 Block of SHAFTER AV,-122.384241699101,37.7272946445203,2005-03-08,15:55:00,57300,0
LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Wednesday,SOUTHERN,NONE,800 Block of 4TH ST,-122.393639372258,37.776093536623,2014-04-30,16:50:00,60600,3
LIQUOR LAWS,MISCELLANEOUS LIQOUR LAW VIOLATION,Monday,MISSION,"ARREST, BOOKED",BRYANT ST / 17TH ST,-122.410365570579,37.7643113176295,2015-02-16,22:18:00,80280,3
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,SOUTHERN,NONE,1100 Block of MARKET ST,-122.413564091744,37.779514030063,2007-10-01,09:30:00,34200,2
BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Monday,NORTHERN,NONE,1600 Block of BUSH ST,-122.424442028878,37.7882271832363,2003-11-24,17:30:00,63000,3
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Saturday,SOUTHERN,"ARREST, BOOKED",0 Block of 7TH ST,-122.411468903052,37.7795579712601,2010-03-13,17:30:00,63000,3
FRAUD,"CREDIT CARD, THEFT BY USE OF",Wednesday,SOUTHERN,NONE,800 Block of MARKET ST,-122.407633520742,37.7841893501425,2006-03-22,12:00:00,43200,3
LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Thursday,SOUTHERN,NONE,HOWARD ST / 10TH ST,-122.414370627502,37.7740418384812,2004-03-18,21:00:00,75600,3
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,INGLESIDE,NONE,29TH ST / CHURCH ST,-122.426671664953,37.7436993942723,2005-02-24,01:30:00,5400,2
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,CENTRAL,NONE,POWELL ST / UNION ST,-122.410836469037,37.8002387227716,2012-07-15,01:00:00,3600,2
LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Friday,PARK,NONE,0 Block of CLAYTON ST,-122.449544287637,37.7749337198881,2011-09-23,08:30:00,30600,1
NON-CRIMINAL,LOST PROPERTY,Monday,MISSION,NONE,MARKET ST / DUBOCE AV,-122.426312365716,37.76960331281421,2003-06-09,16:00:00,57600,3
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,1400 Block of FILLMORE ST,-122.432680942926,37.782821449014,2014-10-13,07:30:00,27000,2
VEHICLE THEFT,STOLEN MOTORCYCLE,Saturday,BAYVIEW,NONE,800 Block of CHINABASIN ST,-122.386775025935,37.765377517215,2007-07-14,18:50:00,67800,3
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,TENDERLOIN,EXCEPTIONAL CLEARANCE,100 Block of POWELL ST,-122.407877787733,37.785968007677496,2014-06-11,11:53:00,42780,3
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,NORTHERN,NONE,1400 Block of JEFFERSON ST,-122.436414098739,37.8055232938461,2006-12-30,08:00:00,28800,2
SECONDARY CODES,DOMESTIC VIOLENCE,Saturday,TENDERLOIN,"ARREST, BOOKED",300 Block of TAYLOR ST,-122.411302813025,37.7855355791102,2009-05-16,21:00:00,75600,3
BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",Monday,NORTHERN,NONE,1200 Block of ELLIS ST,-122.425944356826,37.7831367499779,2007-03-19,03:00:00,10800,2
NON-CRIMINAL,LOST PROPERTY,Saturday,INGLESIDE,NONE,100 Block of BEACON ST,-122.431432341656,37.7395198970845,2013-02-09,09:42:00,34920,1
